Key,English,Italian
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,Darkon 1: Fabbrica di Erons II
PATROL_DESTINATION_000003,Iblis Temple,Tempio di Iblis
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,Ladri delle Montagne di Leren
PATROL_DESTINATION_000005,Base Camp of the Thieves,Covo di Ladri
PATROL_DESTINATION_000006,Mars Dungeon,Miniera di Mars
PATROL_DESTINATION_000007,Altar of Violet,Altare Viola
PATROL_DESTINATION_000008,Depths of the Dorian,Abissi del Dorian
PATROL_DESTINATION_000009,Lair of the Okean,Tana dell'Okean
PATROL_DESTINATION_000010,Date Location,Punto d’Incontro
PATROL_DESTINATION_000011,Strange Entrance,Entrata Strana
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,Il Tesoro Perduto di Herneos
PATROL_DESTINATION_000013,Kaillun Forest,Foresta di Kaillun
PATROL_DESTINATION_000014,Ankou Asylum,Rifugio di Ankou
